EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
0,210,210,0,210
-3.299e-08,210,210,-3.299e-08,210
-2.6372e-07,210,210,-2.6372e-07,210
-8.8939e-07,210,210,-8.8939e-07,210
-2.1066e-06,210,210,-2.1066e-06,210
-4.1114e-06,210,210,-4.1114e-06,210
-7.0991e-06,210,210,-7.0991e-06,210
-1.1265e-05,210,210,-1.1265e-05,210
-1.6802e-05,210,210,-1.6802e-05,210
-2.3905e-05,210,210,-2.3906e-05,210
-3.2768e-05,210,210,-3.2768e-05,210
-4.3581e-05,210,210,-4.3581e-05,210
-5.6537e-05,210,210,-5.6537e-05,210
-7.1828e-05,210,210,-7.1828e-05,210
-8.9644e-05,210,210,-8.9644e-05,210
-0.00011017,210,210,-0.00011017,210
-0.00013361,210,210,-0.00013361,210
-0.00016014,210,210,-0.00016014,210
-0.00018995,210,210,-0.00018995,210
-0.00022323,210,210,-0.00022323,210
-0.00026017,210,210,-0.00026017,210
-0.00030095,210,210,-0.00030095,210
-0.00034577,210,210,-0.00034577,210
-0.00039479,210,210,-0.00039479,210
-0.00044822,210,210,-0.00044822,210
-0.00050623,210,210,-0.00050623,210
-0.00056901,210,210,-0.00056901,210
-0.00063674,210,210,-0.00063674,210
-0.0007096,210,210,-0.00070961,210
-0.00078778,210,210,-0.00078779,210
-0.00087146,210,210,-0.00087147,210
-0.00096082,210,210,-0.00096082,210
-0.001056,210,210,-0.001056,210
-0.0011573,210,210,-0.0011573,210
-0.0012647,210,210,-0.0012648,210
-0.0013786,210,210,-0.0013786,210
-0.0014991,210,210,-0.0014991,210
-0.0016262,210,210,-0.0016263,210
-0.0017604,210,210,-0.0017604,210
-0.0019016,210,210,-0.0019016,210.01
-0.0020501,210,210,-0.0020501,210.01
-0.002206,210,210,-0.0022061,210.01
-0.0023696,210,210,-0.0023697,210.01
-0.002541,210,210,-0.0025411,210.01
-0.0027204,210,210,-0.0027204,210.01
-0.0029079,210,210,-0.0029079,210.01
-0.0031037,210,210,-0.0031038,210.01
-0.003308,210,210,-0.0033081,210.01
-0.003521,210.01,210,-0.0035211,210.01
-0.0037429,210.01,210,-0.003743,210.01
-0.0039737,210.01,210,-0.0039738,210.01
-0.0042137,210.01,210,-0.0042138,210.01
-0.004463,210.01,210,-0.0044632,210.01
-0.0047219,210.01,210,-0.0047221,210.01
-0.0049905,210.01,210,-0.0049907,210.01
-0.0052688,210.01,210,-0.0052691,210.01
-0.0055572,210.01,210,-0.0055575,210.02
-0.0058558,210.01,210,-0.0058561,210.02
-0.0061648,210.01,210,-0.0061651,210.02
-0.0064842,210.01,210,-0.0064845,210.02
-0.0068143,210.01,210,-0.0068147,210.02
-0.0071553,210.01,210,-0.0071557,210.02
-0.0075072,210.01,210,-0.0075077,210.02
-0.0078703,210.01,210,-0.0078709,210.02
-0.0082448,210.01,210,-0.0082454,210.02
-0.0086307,210.01,210,-0.0086313,210.02
-0.0090283,210.01,210,-0.009029,210.02
-0.0094377,210.01,210,-0.0094384,210.03
-0.009859,210.01,210,-0.0098599,210.03
-0.010293,210.02,210,-0.010293,210.03
-0.010738,210.02,210,-0.010739,210.03
-0.011197,210.02,210,-0.011198,210.03
-0.011667,210.02,210,-0.011669,210.03
-0.012151,210.02,210,-0.012152,210.03
-0.012647,210.02,210,-0.012649,210.03
-0.013157,210.02,210,-0.013159,210.04
-0.01368,210.02,210,-0.013682,210.04
-0.014216,210.02,210,-0.014218,210.04
-0.014766,210.02,210,-0.014768,210.04
-0.015329,210.02,210,-0.015331,210.04
-0.015907,210.02,210,-0.015909,210.04
-0.016498,210.02,210,-0.0165,210.04
-0.017103,210.03,210,-0.017106,210.05
-0.017723,210.03,210,-0.017726,210.05
-0.018357,210.03,210,-0.01836,210.05
-0.019006,210.03,210,-0.019009,210.05
-0.01967,210.03,210,-0.019673,210.05
-0.020348,210.03,210,-0.020352,210.06
-0.021042,210.03,210,-0.021045,210.06
-0.02175,210.03,210,-0.021754,210.06
-0.022475,210.03,210,-0.022479,210.06
-0.023214,210.03,210,-0.023219,210.06
-0.023969,210.04,210,-0.023974,210.07
-0.02474,210.04,210,-0.024746,210.07
-0.025527,210.04,210,-0.025533,210.07
-0.02633,210.04,210,-0.026336,210.07
-0.02715,210.04,210,-0.027156,210.07
-0.027985,210.04,210,-0.027992,210.08
-0.028838,210.04,210,-0.028845,210.08
-0.029706,210.04,210,-0.029714,210.08
-0.030592,210.05,210,-0.0306,210.08
-0.031495,210.05,210,-0.031503,210.09
-0.032414,210.05,210,-0.032423,210.09
-0.033351,210.05,210,-0.033361,210.09
-0.034306,210.05,210,-0.034316,210.09
-0.035277,210.05,210,-0.035288,210.1
-0.036267,210.05,210,-0.036278,210.1
-0.037274,210.06,210,-0.037286,210.1
-0.038299,210.06,210,-0.038312,210.1
-0.039343,210.06,210,-0.039356,210.11
-0.040404,210.06,210,-0.040418,210.11
-0.041484,210.06,210,-0.041499,210.11
-0.042582,210.06,210,-0.042598,210.12
-0.043699,210.07,210,-0.043715,210.12
-0.044835,210.07,210,-0.044852,210.12
-0.045989,210.07,210,-0.046007,210.13
-0.047163,210.07,210,-0.047182,210.13
-0.048355,210.07,210,-0.048376,210.13
-0.049567,210.07,210,-0.049589,210.14
-0.050799,210.08,210,-0.050821,210.14
-0.05205,210.08,210,-0.052073,210.14
-0.053321,210.08,210,-0.053345,210.15
-0.054611,210.08,210,-0.054637,210.15
-0.055921,210.08,210,-0.055948,210.15
-0.057252,210.09,210,-0.05728,210.16
-0.058603,210.09,210,-0.058632,210.16
-0.059974,210.09,210,-0.060005,210.16
-0.061365,210.09,210,-0.061398,210.17
-0.062777,210.09,210,-0.062811,210.17
-0.06421,210.1,210,-0.064246,210.17
-0.065664,210.1,210,-0.065701,210.18
-0.067139,210.1,210,-0.067177,210.18
-0.068634,210.1,210,-0.068675,210.19
-0.070151,210.11,210,-0.070194,210.19
-0.07169,210.11,210,-0.071734,210.2
-0.07325,210.11,210,-0.073296,210.2
-0.074831,210.11,210,-0.074879,210.2
-0.076434,210.11,210,-0.076484,210.21
-0.078059,210.12,210.01,-0.078111,210.21
-0.079706,210.12,210.01,-0.079761,210.22
-0.081375,210.12,210.01,-0.081432,210.22
-0.083067,210.12,210.01,-0.083126,210.23
-0.08478,210.13,210.01,-0.084842,210.23
-0.086516,210.13,210.01,-0.086581,210.24
-0.088275,210.13,210.01,-0.088342,210.24
-0.090057,210.14,210.01,-0.090126,210.24
-0.091861,210.14,210.01,-0.091933,210.25
-0.093688,210.14,210.01,-0.093763,210.25
-0.095538,210.14,210.01,-0.095617,210.26
-0.097412,210.15,210.01,-0.097493,210.26
-0.099309,210.15,210.01,-0.099393,210.27
-0.10123,210.15,210.01,-0.10132,210.28
-0.10317,210.15,210.01,-0.10326,210.28
-0.10514,210.16,210.01,-0.10523,210.29
-0.10713,210.16,210.01,-0.10723,210.29
-0.10915,210.16,210.01,-0.10925,210.3
-0.11118,210.17,210.01,-0.11129,210.3
-0.11325,210.17,210.01,-0.11336,210.31
-0.11534,210.17,210.01,-0.11545,210.31
-0.11745,210.18,210.01,-0.11757,210.32
-0.11958,210.18,210.01,-0.11971,210.32
-0.12174,210.18,210.01,-0.12187,210.33
-0.12393,210.19,210.01,-0.12406,210.34
-0.12614,210.19,210.01,-0.12628,210.34
-0.12837,210.19,210.01,-0.12852,210.35
-0.13063,210.2,210.01,-0.13078,210.35
-0.13292,210.2,210.01,-0.13307,210.36
-0.13523,210.2,210.01,-0.13539,210.37
-0.13757,210.21,210.01,-0.13773,210.37
-0.13993,210.21,210.01,-0.14009,210.38
-0.14231,210.21,210.01,-0.14249,210.39
-0.14473,210.22,210.01,-0.1449,210.39
-0.14716,210.22,210.01,-0.14735,210.4
-0.14963,210.22,210.01,-0.14982,210.41
-0.15212,210.23,210.01,-0.15232,210.41
-0.15463,210.23,210.01,-0.15484,210.42
-0.15718,210.24,210.01,-0.15739,210.43
-0.15974,210.24,210.01,-0.15996,210.43
-0.16234,210.24,210.01,-0.16257,210.44
-0.16496,210.25,210.01,-0.16519,210.45
-0.16761,210.25,210.01,-0.16785,210.45
-0.17028,210.25,210.01,-0.17053,210.46
-0.17299,210.26,210.01,-0.17324,210.47
-0.17571,210.26,210.01,-0.17598,210.48
-0.17847,210.27,210.01,-0.17874,210.48
-0.18125,210.27,210.01,-0.18153,210.49
-0.18406,210.27,210.01,-0.18435,210.5
-0.1869,210.28,210.01,-0.1872,210.51
-0.18976,210.28,210.01,-0.19007,210.51
-0.19266,210.29,210.01,-0.19297,210.52
-0.19558,210.29,210.01,-0.1959,210.53
-0.19852,210.3,210.01,-0.19886,210.54
-0.2015,210.3,210.01,-0.20185,210.55
-0.2045,210.31,210.01,-0.20486,210.55
-0.20753,210.31,210.01,-0.2079,210.56
-0.21059,210.31,210.01,-0.21097,210.57
-0.21368,210.32,210.01,-0.21407,210.58
-0.2168,210.32,210.01,-0.2172,210.59
-0.21994,210.33,210.01,-0.22035,210.6
-0.22311,210.33,210.01,-0.22354,210.6
-0.22632,210.34,210.01,-0.22675,210.61
-0.22955,210.34,210.02,-0.22999,210.62
-0.2328,210.35,210.02,-0.23327,210.63
-0.23609,210.35,210.02,-0.23657,210.64
-0.23941,210.36,210.02,-0.2399,210.65
-0.24275,210.36,210.02,-0.24326,210.66
-0.24613,210.37,210.02,-0.24664,210.67
-0.24953,210.37,210.02,-0.25006,210.67
-0.25297,210.38,210.02,-0.25351,210.68
-0.25643,210.38,210.02,-0.25699,210.69
-0.25992,210.39,210.02,-0.2605,210.7
-0.26344,210.39,210.02,-0.26403,210.71
-0.267,210.4,210.02,-0.2676,210.72
-0.27058,210.4,210.02,-0.2712,210.73
-0.27419,210.41,210.02,-0.27483,210.74
-0.27783,210.41,210.02,-0.27848,210.75
-0.2815,210.42,210.02,-0.28217,210.76
-0.2852,210.42,210.02,-0.28589,210.77
-0.28893,210.43,210.02,-0.28964,210.78
-0.2927,210.43,210.02,-0.29342,210.79
-0.29649,210.44,210.02,-0.29723,210.8
-0.30031,210.45,210.02,-0.30108,210.81
-0.30417,210.45,210.02,-0.30495,210.82
-0.30805,210.46,210.02,-0.30885,210.83
-0.31196,210.46,210.02,-0.31279,210.84
-0.31591,210.47,210.02,-0.31675,210.85
-0.31989,210.47,210.02,-0.32075,210.86
-0.32389,210.48,210.02,-0.32478,210.87
-0.32793,210.49,210.02,-0.32884,210.88
-0.332,210.49,210.02,-0.33293,210.89
-0.3361,210.5,210.02,-0.33706,210.91
-0.34024,210.5,210.02,-0.34121,210.92
-0.3444,210.51,210.02,-0.3454,210.93
-0.3486,210.52,210.02,-0.34962,210.94
-0.35282,210.52,210.02,-0.35387,210.95
-0.35708,210.53,210.02,-0.35816,210.96
-0.36137,210.53,210.02,-0.36247,210.97
-0.36569,210.54,210.02,-0.36682,210.98
-0.37005,210.55,210.02,-0.3712,211
-0.37443,210.55,210.03,-0.37561,211.01
-0.37885,210.56,210.03,-0.38006,211.02
-0.3833,210.57,210.03,-0.38454,211.03
-0.38778,210.57,210.03,-0.38905,211.04
-0.3923,210.58,210.03,-0.39359,211.06
-0.39684,210.59,210.03,-0.39817,211.07
-0.40142,210.59,210.03,-0.40278,211.08
-0.40604,210.6,210.03,-0.40742,211.09
-0.41068,210.61,210.03,-0.4121,211.1
-0.41536,210.61,210.03,-0.41681,211.12
-0.42007,210.62,210.03,-0.42155,211.13
-0.42481,210.63,210.03,-0.42632,211.14
-0.42958,210.63,210.03,-0.43113,211.15
-0.43439,210.64,210.03,-0.43597,211.17
-0.43923,210.65,210.03,-0.44085,211.18
-0.44411,210.65,210.03,-0.44576,211.19
-0.44902,210.66,210.03,-0.4507,211.21
-0.45396,210.67,210.03,-0.45568,211.22
-0.45893,210.68,210.03,-0.46069,211.23
-0.46394,210.68,210.03,-0.46574,211.24
-0.46898,210.69,210.03,-0.47082,211.26
-0.47405,210.7,210.03,-0.47593,211.27
-0.47916,210.71,210.03,-0.48108,211.28
-0.4843,210.71,210.03,-0.48626,211.3
-0.48948,210.72,210.03,-0.49148,211.31
-0.49469,210.73,210.03,-0.49673,211.33
-0.49993,210.73,210.03,-0.50202,211.34
-0.50521,210.74,210.03,-0.50734,211.35
-0.51052,210.75,210.03,-0.51269,211.37
-0.51587,210.76,210.04,-0.51808,211.38
-0.52125,210.77,210.04,-0.52351,211.4
-0.52666,210.77,210.04,-0.52897,211.41
-0.53211,210.78,210.04,-0.53446,211.42
-0.53759,210.79,210.04,-0.53999,211.44
-0.54311,210.8,210.04,-0.54556,211.45
-0.54866,210.8,210.04,-0.55116,211.47
-0.55424,210.81,210.04,-0.55679,211.48
-0.55986,210.82,210.04,-0.56246,211.5
-0.56552,210.83,210.04,-0.56817,211.51
-0.57121,210.84,210.04,-0.57391,211.53
-0.57693,210.84,210.04,-0.57969,211.54
-0.58269,210.85,210.04,-0.5855,211.56
-0.58848,210.86,210.04,-0.59135,211.57
-0.59431,210.87,210.04,-0.59724,211.59
-0.60018,210.88,210.04,-0.60316,211.6
-0.60608,210.89,210.04,-0.60911,211.62
-0.61201,210.89,210.04,-0.61511,211.63
-0.61798,210.9,210.04,-0.62114,211.65
-0.62399,210.91,210.04,-0.6272,211.66
-0.63003,210.92,210.04,-0.6333,211.68
-0.6361,210.93,210.04,-0.63944,211.7
-0.64221,210.94,210.04,-0.64561,211.71
-0.64836,210.95,210.05,-0.65182,211.73
-0.65454,210.95,210.05,-0.65807,211.74
-0.66076,210.96,210.05,-0.66436,211.76
-0.66702,210.97,210.05,-0.67068,211.78
-0.6733,210.98,210.05,-0.67703,211.79
-0.67963,210.99,210.05,-0.68343,211.81
-0.68599,211,210.05,-0.68986,211.82
-0.69239,211.01,210.05,-0.69632,211.84
-0.69882,211.02,210.05,-0.70283,211.86
-0.70529,211.03,210.05,-0.70937,211.87
-0.7118,211.04,210.05,-0.71595,211.89
-0.71834,211.04,210.05,-0.72257,211.91
-0.72492,211.05,210.05,-0.72922,211.93
-0.73153,211.06,210.05,-0.73591,211.94
-0.73818,211.07,210.05,-0.74264,211.96
-0.74487,211.08,210.05,-0.7494,211.98
-0.75159,211.09,210.05,-0.75621,211.99
-0.75835,211.1,210.05,-0.76305,212.01
-0.76515,211.11,210.05,-0.76992,212.03
-0.77198,211.12,210.05,-0.77684,212.05
-0.77885,211.13,210.06,-0.78379,212.06
-0.78575,211.14,210.06,-0.79079,212.08
-0.7927,211.15,210.06,-0.79782,212.1
-0.79968,211.16,210.06,-0.80488,212.12
-0.80669,211.17,210.06,-0.81199,212.14
-0.81375,211.18,210.06,-0.81913,212.15
-0.82084,211.19,210.06,-0.82631,212.17
-0.82797,211.2,210.06,-0.83353,212.19
-0.83513,211.21,210.06,-0.84079,212.21
-0.84233,211.22,210.06,-0.84809,212.23
-0.84957,211.23,210.06,-0.85542,212.25
-0.85685,211.24,210.06,-0.8628,212.26
-0.86416,211.25,210.06,-0.87021,212.28
-0.87151,211.26,210.06,-0.87766,212.3
-0.8789,211.27,210.06,-0.88515,212.32
-0.88633,211.28,210.06,-0.89268,212.34
-0.89379,211.29,210.06,-0.90024,212.36
-0.90129,211.3,210.06,-0.90785,212.38
-0.90883,211.31,210.07,-0.91549,212.4
-0.9164,211.32,210.07,-0.92317,212.42
-0.92402,211.33,210.07,-0.9309,212.44
-0.93167,211.34,210.07,-0.93866,212.46
-0.93936,211.35,210.07,-0.94646,212.47
-0.94708,211.36,210.07,-0.9543,212.49
-0.95485,211.37,210.07,-0.96218,212.51
-0.96265,211.38,210.07,-0.97009,212.53
-0.97049,211.39,210.07,-0.97805,212.55
-0.97837,211.4,210.07,-0.98605,212.57
-0.98629,211.41,210.07,-0.99408,212.59
-0.99424,211.43,210.07,-1.0022,212.61
-1.0022,211.44,210.07,-1.0103,212.63
-1.0103,211.45,210.07,-1.0184,212.65
-1.0183,211.46,210.07,-1.0266,212.67
-1.0264,211.47,210.08,-1.0349,212.7
-1.0346,211.48,210.08,-1.0431,212.72
-1.0428,211.49,210.08,-1.0514,212.74
-1.051,211.5,210.08,-1.0598,212.76
-1.0593,211.51,210.08,-1.0682,212.78
-1.0676,211.53,210.08,-1.0766,212.8
-1.0759,211.54,210.08,-1.0851,212.82
-1.0843,211.55,210.08,-1.0936,212.84
-1.0927,211.56,210.08,-1.1022,212.86
-1.1011,211.57,210.08,-1.1108,212.88
-1.1096,211.58,210.08,-1.1194,212.9
-1.1182,211.59,210.08,-1.1281,212.93
-1.1267,211.6,210.08,-1.1368,212.95
-1.1353,211.62,210.08,-1.1455,212.97
-1.144,211.63,210.08,-1.1543,212.99
-1.1527,211.64,210.09,-1.1632,213.01
-1.1614,211.65,210.09,-1.1721,213.03
-1.1702,211.66,210.09,-1.181,213.06
-1.179,211.67,210.09,-1.1899,213.08
-1.1878,211.69,210.09,-1.1989,213.1
-1.1967,211.7,210.09,-1.208,213.12
-1.2056,211.71,210.09,-1.217,213.14
-1.2146,211.72,210.09,-1.2262,213.17
-1.2236,211.73,210.09,-1.2353,213.19
-1.2326,211.75,210.09,-1.2445,213.21
