EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
0,210,300,0,120
0,210,300,0,120
-2.3056e-32,210,300,-3.6981e-34,120
4.7712e-31,210,300,2.4664e-32,120
-7.3074e-30,210,300,-2.6202e-32,120
2.1511e-22,210,300,-6.681e-31,120
-1.0547e-22,210,300,1.7604e-30,120
-5.5242e-22,210,300,5.5533e-30,120
-1.1466e-21,210,300,5.0244e-30,120
-1.1466e-21,210,300,-5.5155e-32,120
-1.1466e-21,210,300,2.5489e-29,120
-3.467e-21,210,300,1.3566e-28,120
-3.467e-21,210,300,1.8033e-28,120
-6.7483e-21,210,300,3.2364e-28,120
-4.4159e-21,210,300,-2.6484e-28,120
-3.9308e-21,210,300,-6.403e-28,120
-8.96e-21,210,300,-2.8494e-28,120
-8.3333e-21,210,300,-1.9139e-27,120
-8.3333e-21,210,300,-2.1681e-27,120
-1.1904e-20,210,300,-5.618e-28,120
-1.5868e-20,210,300,-6.2684e-28,120
-1.5868e-20,210,300,-9.928e-28,120
-1.106e-20,210,300,-1.7788e-27,120
-2.1581e-20,210,300,2.4873e-27,120
-1.5848e-20,210,300,-3.3677e-27,120
-8.2533e-21,210,300,-9.0847e-27,120
-1.4989e-20,210,300,-6.4809e-27,120
-2.2257e-20,210,300,5.1638e-28,120
-3.0076e-20,210,300,1.1057e-26,120
-3.0076e-20,210,300,5.1657e-27,120
-4.8034e-20,210,300,1.6137e-26,120
-4.5923e-20,210,300,-3.563e-27,120
-5.6139e-20,210,300,2.3444e-27,120
-5.3748e-20,210,300,-3.5443e-26,120
-5.121e-20,210,300,-8.8768e-26,120
-6.343e-20,210,300,-7.1658e-26,120
-6.343e-20,210,300,-5.7681e-26,120
-7.7076e-20,210,300,-3.8725e-27,120
-7.7077e-20,210,300,2.8797e-26,120
-5.8588e-20,210,300,-7.4119e-26,120
-5.8589e-20,210,300,-9.0746e-26,120
-5.859e-20,210,300,-1.5052e-25,120
-2.3478e-20,210,300,-2.3965e-25,120
-4.1872e-20,210,300,-2.3715e-25,120
-2.2628e-20,210,300,-3.0024e-25,120
-2.262e-20,210,300,-3.4229e-25,120
-2.262e-20,210,300,-3.5236e-25,120
-6.9574e-22,210,300,-4.3899e-25,120
-7.0133e-22,210,300,-4.4171e-25,120
-2.4504e-20,210,300,-4.3323e-25,120
-4.9277e-20,210,300,-2.9076e-25,120
-1.0079e-19,210,300,-1.9427e-25,120
-4.1374e-20,210,300,-5.8877e-25,120
-4.1384e-20,210,300,-6.6572e-25,120
-4.1391e-20,210,300,-8.4046e-25,120
-4.1394e-20,210,300,-9.579e-25,120
-4.1387e-20,210,300,-1.0126e-24,120
-7.3417e-20,210,300,-7.0183e-25,120
-1.3973e-19,210,300,-4.133e-25,120
-2.0831e-19,210,300,-1.9176e-25,120
-2.3597e-19,210,300,-7.3841e-25,120
-1.9133e-19,210,300,-2.1025e-24,120
-1.9131e-19,210,300,-2.0771e-24,120
-1.5232e-19,210,300,-2.3979e-24,120
-2.327e-19,210,300,-1.698e-24,120
-2.7412e-19,210,300,-8.3511e-25,120
-1.7943e-19,210,300,-3.2602e-24,120
-2.2336e-19,210,300,-3.2204e-24,120
