EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
0,210,210,0,30
-2.5292e-08,210,210,-2.5292e-08,30
-2.0219e-07,210,210,-2.0219e-07,30
-6.8187e-07,210,210,-6.8187e-07,30
-1.6151e-06,210,210,-1.6151e-06,30
-3.152e-06,210,210,-3.152e-06,30
-5.4426e-06,210,210,-5.4426e-06,30
-8.6362e-06,210,210,-8.6362e-06,30
-1.2882e-05,210,210,-1.2882e-05,30
-1.8328e-05,210,210,-1.8328e-05,30
-2.5122e-05,210,210,-2.5122e-05,30
-3.3412e-05,210,210,-3.3412e-05,30
-4.3345e-05,210,210,-4.3345e-05,30
-5.5068e-05,210,210,-5.5068e-05,30
-6.8727e-05,210,210,-6.8727e-05,30
-8.4467e-05,210,210,-8.4467e-05,30
-0.00010243,210,210,-0.00010243,30
-0.00012277,210,210,-0.00012277,30
-0.00014563,210,210,-0.00014563,30
-0.00017115,210,210,-0.00017115,30
-0.00019946,210,210,-0.00019946,29.999
-0.00023073,210,210,-0.00023073,29.999
-0.00026509,210,210,-0.00026509,29.999
-0.00030267,210,210,-0.00030267,29.999
-0.00034363,210,210,-0.00034364,29.999
-0.00038811,210,210,-0.00038811,29.999
-0.00043624,210,210,-0.00043624,29.999
-0.00048817,210,210,-0.00048817,29.999
-0.00054403,210,210,-0.00054403,29.999
-0.00060397,210,210,-0.00060397,29.998
-0.00066812,210,210,-0.00066812,29.998
-0.00073663,210,210,-0.00073663,29.998
-0.00080962,210,210,-0.00080963,29.998
-0.00088725,210,210,-0.00088725,29.998
-0.00096964,210,210,-0.00096965,29.997
-0.0010569,210,210,-0.0010569,29.997
-0.0011493,210,210,-0.0011493,29.997
-0.0012468,210,210,-0.0012468,29.997
-0.0013496,210,210,-0.0013496,29.996
-0.0014579,210,210,-0.0014579,29.996
-0.0015717,210,210,-0.0015717,29.996
-0.0016913,210,210,-0.0016913,29.996
-0.0018167,210,210,-0.0018167,29.995
-0.0019481,210,210,-0.0019481,29.995
-0.0020856,210,210,-0.0020856,29.995
-0.0022294,210,210,-0.0022294,29.994
-0.0023795,210,210,-0.0023795,29.994
-0.0025361,210,210,-0.0025362,29.993
-0.0026994,210,210,-0.0026995,29.993
-0.0028695,210,210,-0.0028696,29.992
-0.0030465,210,210,-0.0030466,29.992
-0.0032305,210,210,-0.0032306,29.992
-0.0034217,210,210,-0.0034217,29.991
-0.0036201,209.99,210,-0.0036202,29.991
-0.003826,209.99,210,-0.0038261,29.99
-0.0040394,209.99,210,-0.0040396,29.989
-0.0042605,209.99,210,-0.0042607,29.989
-0.0044894,209.99,210,-0.0044896,29.988
-0.0047263,209.99,210,-0.0047265,29.988
-0.0049712,209.99,210,-0.0049714,29.987
-0.0052243,209.99,210,-0.0052245,29.986
-0.0054857,209.99,210,-0.0054859,29.986
-0.0057555,209.99,210,-0.0057557,29.985
-0.0060339,209.99,210,-0.0060342,29.984
-0.0063209,209.99,210,-0.0063213,29.983
-0.0066168,209.99,210,-0.0066172,29.983
-0.0069216,209.99,210,-0.006922,29.982
-0.0072355,209.99,210,-0.0072359,29.981
-0.0075585,209.99,210,-0.007559,29.98
-0.0078909,209.99,210,-0.0078914,29.979
-0.0082326,209.99,210,-0.0082332,29.978
-0.0085839,209.99,210,-0.0085845,29.977
-0.0089449,209.99,210,-0.0089455,29.977
-0.0093156,209.99,210,-0.0093163,29.976
-0.0096963,209.99,210,-0.009697,29.975
-0.010087,209.99,210,-0.010088,29.974
-0.010488,209.98,210,-0.010489,29.973
-0.010899,209.98,210,-0.0109,29.971
-0.01132,209.98,210,-0.011321,29.97
-0.011752,209.98,210,-0.011753,29.969
