EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
0,210,210,0,30
3.189e-08,210,210,3.189e-08,30
2.5493e-07,210,210,2.5493e-07,30
8.5974e-07,210,210,8.5974e-07,30
2.0364e-06,210,210,2.0364e-06,30
3.9743e-06,210,210,3.9743e-06,30
6.8625e-06,210,210,6.8625e-06,30
1.0889e-05,210,210,1.0889e-05,30
1.6242e-05,210,210,1.6242e-05,30
2.3109e-05,210,210,2.3109e-05,30
3.1675e-05,210,210,3.1675e-05,30
4.2128e-05,210,210,4.2128e-05,30
5.4653e-05,210,210,5.4653e-05,30
6.9434e-05,210,210,6.9434e-05,30
8.6655e-05,210,210,8.6656e-05,30
0.0001065,210,210,0.0001065,30
0.00012916,210,210,0.00012916,30
0.0001548,210,210,0.0001548,30
0.00018362,210,210,0.00018362,29.999
0.00021579,210,210,0.00021579,29.999
0.0002515,210,210,0.0002515,29.999
0.00029092,210,210,0.00029092,29.999
0.00033424,210,210,0.00033424,29.999
0.00038163,210,210,0.00038163,29.999
0.00043328,210,210,0.00043328,29.999
0.00048936,210,210,0.00048936,29.998
0.00055004,210,210,0.00055005,29.998
0.00061552,210,210,0.00061552,29.998
0.00068595,210,210,0.00068596,29.998
0.00076153,210,210,0.00076153,29.998
0.00084241,210,210,0.00084242,29.997
0.00092879,210,210,0.0009288,29.997
0.0010208,210,210,0.0010208,29.997
0.0011187,210,210,0.0011187,29.996
0.0012226,210,210,0.0012226,29.996
0.0013327,210,210,0.0013327,29.996
0.0014491,210,210,0.0014491,29.995
0.001572,210,210,0.0015721,29.995
0.0017017,210,210,0.0017017,29.995
0.0018382,210,210,0.0018382,29.994
0.0019817,210,210,0.0019818,29.994
0.0021325,210,210,0.0021326,29.993
0.0022906,210,210,0.0022907,29.993
0.0024563,210,210,0.0024564,29.992
0.0026297,209.99,210,0.0026298,29.992
0.002811,209.99,210,0.002811,29.991
0.0030003,209.99,210,0.0030004,29.991
0.0031978,209.99,210,0.0031979,29.99
0.0034037,209.99,210,0.0034038,29.989
0.0036181,209.99,210,0.0036183,29.989
0.0038413,209.99,210,0.0038414,29.988
0.0040733,209.99,210,0.0040735,29.987
0.0043143,209.99,210,0.0043145,29.986
0.0045645,209.99,210,0.0045648,29.986
0.0048241,209.99,210,0.0048244,29.985
0.0050932,209.99,210,0.0050936,29.984
0.005372,209.99,210,0.0053724,29.983
0.0056607,209.99,210,0.0056611,29.982
0.0059593,209.99,210,0.0059597,29.981
0.0062681,209.99,210,0.0062686,29.98
0.0065872,209.99,210,0.0065877,29.979
0.0069168,209.99,210,0.0069174,29.978
0.007257,209.99,210,0.0072577,29.977
0.0076081,209.98,210,0.0076087,29.976
0.00797,209.98,210,0.0079708,29.975
0.0083431,209.98,210,0.0083439,29.974
0.0087275,209.98,210,0.0087284,29.973
0.0091232,209.98,210,0.0091242,29.971
0.0095305,209.98,210,0.0095316,29.97
0.0099496,209.98,210,0.0099508,29.969
0.010381,209.98,210,0.010382,29.967
0.010824,209.98,210,0.010825,29.966
0.011279,209.98,210,0.01128,29.965
0.011746,209.98,210,0.011748,29.963
0.012226,209.98,210,0.012228,29.962
0.012719,209.97,210,0.012721,29.96
0.013224,209.97,210,0.013226,29.959
0.013743,209.97,210,0.013745,29.957
0.014274,209.97,210,0.014276,29.955
0.014819,209.97,210,0.014821,29.954
0.015377,209.97,210,0.01538,29.952
0.015948,209.97,210,0.015951,29.95
0.016534,209.97,210,0.016537,29.948
0.017133,209.97,210,0.017136,29.946
0.017746,209.97,210,0.01775,29.944
0.018373,209.96,210,0.018377,29.942
0.019015,209.96,210,0.019019,29.94
0.01967,209.96,210,0.019675,29.938
0.020341,209.96,210,0.020346,29.936
0.021026,209.96,210,0.021031,29.934
0.021726,209.96,210,0.021732,29.932
0.022441,209.96,210,0.022447,29.93
0.023171,209.95,210,0.023178,29.927
0.023917,209.95,210,0.023923,29.925
0.024677,209.95,210,0.024685,29.923
0.025454,209.95,210,0.025461,29.92
0.026246,209.95,210,0.026254,29.918
0.027054,209.95,210,0.027062,29.915
0.027877,209.95,210,0.027887,29.913
0.028717,209.94,210,0.028727,29.91
0.029574,209.94,210,0.029584,29.907
0.030446,209.94,210,0.030457,29.905
0.031335,209.94,210,0.031347,29.902
0.032241,209.94,210,0.032253,29.899
0.033164,209.93,210,0.033177,29.896
0.034103,209.93,210,0.034117,29.893
0.03506,209.93,210,0.035074,29.89
0.036034,209.93,210,0.036049,29.887
0.037025,209.93,210,0.037041,29.884
0.038033,209.93,210,0.03805,29.881
0.03906,209.92,210,0.039078,29.878
0.040103,209.92,210,0.040122,29.874
0.041165,209.92,210,0.041185,29.871
0.042245,209.92,210,0.042266,29.868
0.043343,209.91,210,0.043365,29.864
0.044459,209.91,210,0.044483,29.861
0.045594,209.91,210,0.045618,29.857
0.046747,209.91,210,0.046773,29.854
0.047919,209.91,210,0.047946,29.85
0.049109,209.9,210,0.049138,29.846
0.050319,209.9,210,0.050349,29.842
