EKSEN1,EKSEN2,EKSEN3,EKSEN4,EKSEN5
0,210,210,0,30
-1.3926e-24,210,210,2.121e-24,30
7.8866e-23,210,210,-1.2662e-23,30
2.3711e-22,210,210,1.2437e-24,30
2.0822e-22,210,210,-1.5167e-24,30
7.6284e-22,210,210,-1.3412e-22,30
7.8096e-23,210,210,-2.929e-22,30
1.1316e-21,210,210,-3.4044e-22,30
2.6927e-21,210,210,-2.3345e-22,30
4.0208e-21,210,210,2.4659e-22,30
2.4104e-21,210,210,-4.9636e-22,30
4.632e-21,210,210,-1.5721e-22,30
1.7306e-21,210,210,-4.6477e-22,30
1.0851e-21,210,210,1.0272e-22,30
4.4162e-21,210,210,9.4487e-22,30
6.853e-22,210,210,-2.2645e-23,30
-4.1296e-21,210,210,-1.0561e-21,30
1.9505e-21,210,210,7.6599e-22,30
8.0753e-21,210,210,2.2636e-21,30
2.2023e-21,210,210,4.9802e-22,30
-7.1401e-21,210,210,2.6161e-21,30
-1.8422e-20,210,210,2.7722e-21,30
-3.1883e-20,210,210,2.9927e-21,30
-2.2068e-20,210,210,5.8546e-21,30
-1.2359e-20,210,210,1e-20,30
3.6896e-21,210,210,9.0211e-21,30
5.5092e-21,210,210,1.1708e-20,30
5.5092e-21,210,210,1.6193e-20,30.001
3.7799e-21,210,210,1.3041e-20,30.001
7.4907e-21,210,210,1.2587e-20,30.001
9.4766e-21,210,210,9.977e-21,30.001
-1.3123e-20,210,210,5.8053e-21,30.001
1.3218e-20,210,210,8.9464e-22,30.001
3.6423e-20,210,210,7.3096e-21,30.001
3.6423e-20,210,210,1.034e-20,30.001
4.9228e-21,210,210,9.9933e-21,30.001
-3.1254e-20,210,210,1.1647e-20,30.001
-6.0404e-20,210,210,7.4023e-21,30.001
-3.285e-20,210,210,1.4628e-20,30.001
-3.8358e-21,210,210,2.251e-20,30.002
-3.7869e-20,210,210,1.6085e-20,30.002
-1.2046e-19,210,210,2.4895e-20,30.002
-6.7438e-20,210,210,1.6054e-20,30.002
-1.1575e-19,210,210,1.2787e-20,30.002
-7.0388e-20,210,210,1.2333e-20,30.002
-1.2671e-19,210,210,2.286e-20,30.002
-1.6695e-19,210,210,1.1157e-20,30.003
-1.2497e-19,210,210,2.7725e-20,30.003
-1.7378e-19,210,210,2.6247e-20,30.003
-1.7495e-19,210,210,1.8541e-20,30.003
-1.6947e-19,210,210,8.0879e-21,30.003
-1.6947e-19,210,210,8.1399e-21,30.003
-2.207e-19,210,210,-1.4123e-20,30.004
-2.3913e-19,210,210,-6.1521e-21,30.004
-2.5825e-19,210,210,2.3098e-21,30.004
-1.0422e-19,210,210,1.1819e-20,30.004
-1.7031e-19,210,210,-7.4692e-22,30.005
-1.6323e-19,210,210,9.3097e-21,30.005
-1.6485e-19,210,210,-5.7177e-21,30.005
-3.1127e-19,210,210,-1.0675e-20,30.005
-4.026e-19,210,210,-4.9534e-21,30.006
-4.9692e-19,210,210,-1.5271e-20,30.006
-3.912e-19,210,210,-2.319e-20,30.006
-2.8213e-19,210.01,210,-2.2951e-20,30.006
-3.5906e-19,210.01,210,-4.8234e-20,30.007
-4.933e-19,210.01,210,-8.8925e-21,30.007
-4.1162e-19,210.01,210,1.3455e-20,30.007
-5.2488e-19,210.01,210,1.3854e-20,30.008
-6.9366e-19,210.01,210,4.6579e-20,30.008
-8.2388e-19,210.01,210,5.0249e-20,30.008
-8.4504e-19,210.01,210,8.6223e-20,30.009
-8.2329e-19,210.01,210,5.8811e-20,30.009
-8.9767e-19,210.01,210,4.4564e-20,30.01
-7.4093e-19,210.01,210,3.4492e-20,30.01
-6.0357e-19,210.01,210,5.1345e-20,30.01
-5.9147e-19,210.01,210,6.4336e-20,30.011
-6.1629e-19,210.01,210,8.5294e-20,30.011
-6.2902e-19,210.01,210,1.001e-19,30.012
-6.2902e-19,210.01,210,9.3163e-20,30.012
-6.4239e-19,210.01,210,1.088e-19,30.013
-5.1008e-19,210.01,210,1.1535e-19,30.013
-5.1318e-19,210.01,210,1.1669e-19,30.013
-5.7066e-19,210.01,210,1.4036e-19,30.014
-7.5682e-19,210.01,210,1.3916e-19,30.014
-8.8713e-19,210.01,210,9.0899e-20,30.015
-7.5723e-19,210.01,210,1.0676e-19,30.016
-7.7298e-19,210.01,210,1.1869e-19,30.016
-9.9288e-19,210.01,210,1.8827e-19,30.017
-8.3393e-19,210.01,210,2.0208e-19,30.017
-8.1711e-19,210.01,210,1.8746e-19,30.018
-9.8307e-19,210.01,210,1.7635e-19,30.018
-1.2579e-18,210.02,210,2.0949e-19,30.019
-1.24e-18,210.02,210,1.9743e-19,30.02
-1.4167e-18,210.02,210,2.0246e-19,30.02
-1.6904e-18,210.02,210,2.6288e-19,30.021
-1.4683e-18,210.02,210,2.5387e-19,30.021
-1.656e-18,210.02,210,2.2031e-19,30.022
-1.5042e-18,210.02,210,2.6997e-19,30.023
-1.5244e-18,210.02,210,3.1393e-19,30.024
-1.3459e-18,210.02,210,3.228e-19,30.024
-1.0378e-18,210.02,210,2.9358e-19,30.025
-1.1804e-18,210.02,210,2.125e-19,30.026
-1.2241e-18,210.02,210,2.1806e-19,30.026
-1.0538e-18,210.02,210,3.0571e-19,30.027
-1.0538e-18,210.02,210,3.3409e-19,30.028
-8.5412e-19,210.02,210,4.203e-19,30.029
-1.0339e-18,210.02,210,3.5494e-19,30.03
-8.0308e-19,210.02,210,4.4302e-19,30.03
-7.7875e-19,210.03,210,3.6659e-19,30.031
-1.0426e-18,210.03,210,3.5429e-19,30.032
-7.2377e-19,210.03,210,3.4515e-19,30.033
-5.2753e-19,210.03,210,4.1581e-19,30.034
-5.2753e-19,210.03,210,4.3356e-19,30.035
-2.774e-19,210.03,210,4.5751e-19,30.036
-5.9159e-19,210.03,210,4.6675e-19,30.037
-5.9159e-19,210.03,209.99,4.6172e-19,30.038
-1.5551e-19,210.03,209.99,3.5781e-19,30.038
3.1599e-19,210.03,209.99,2.7366e-19,30.039
1.5802e-20,210.03,209.99,3.0246e-19,30.04
-6.5404e-20,210.03,209.99,3.7444e-19,30.041
3.4664e-19,210.03,209.99,3.804e-19,30.042
3.7679e-19,210.04,209.99,3.6241e-19,30.043
3.4617e-19,210.04,209.99,3.587e-19,30.045
-2.0297e-19,210.04,209.99,4.5888e-19,30.046
1.0198e-19,210.04,209.99,5.3382e-19,30.047
4.5072e-19,210.04,209.99,5.8441e-19,30.048
8.3004e-19,210.04,209.99,5.3908e-19,30.049
1.215e-18,210.04,209.99,5.1878e-19,30.05
1.8068e-18,210.04,209.99,4.0539e-19,30.051
1.8068e-18,210.04,209.99,4.375e-19,30.052
1.4046e-18,210.04,209.99,4.4014e-19,30.054
1.8553e-18,210.04,209.99,4.2721e-19,30.055
1.8908e-18,210.05,209.99,4.6808e-19,30.056
1.5071e-18,210.05,209.99,3.5211e-19,30.057
1.9773e-18,210.05,209.99,2.6459e-19,30.058
1.9485e-18,210.05,209.99,2.6874e-19,30.06
1.8359e-18,210.05,209.99,3.0184e-19,30.061
1.7598e-18,210.05,209.99,3.2616e-19,30.062
2.2094e-18,210.05,209.99,4.4208e-19,30.064
2.7042e-18,210.05,209.99,3.5581e-19,30.065
3.0075e-18,210.05,209.99,4.8781e-19,30.066
3.0075e-18,210.05,209.99,5.2684e-19,30.068
2.9669e-18,210.06,209.99,5.2508e-19,30.069
3.0081e-18,210.06,209.99,5.6963e-19,30.071
2.4472e-18,210.06,209.99,7.7914e-19,30.072
2.4895e-18,210.06,209.99,7.1112e-19,30.073
2.9031e-18,210.06,209.99,7.5534e-19,30.075
3.3219e-18,210.06,209.99,9.1315e-19,30.076
3.6582e-18,210.06,209.99,1.0451e-18,30.078
4.3988e-18,210.06,209.99,8.3641e-19,30.079
3.964e-18,210.07,209.99,7.3175e-19,30.081
3.4328e-18,210.07,209.99,7.7125e-19,30.083
3.9244e-18,210.07,209.99,6.8985e-19,30.084
4.3287e-18,210.07,209.99,7.5847e-19,30.086
4.187e-18,210.07,209.99,8.1402e-19,30.087
3.7729e-18,210.07,209.99,7.0614e-19,30.089
3.2194e-18,210.07,209.99,7.5912e-19,30.091
2.7465e-18,210.07,209.99,5.7482e-19,30.092
2.697e-18,210.08,209.99,5.7951e-19,30.094
2.658e-18,210.08,209.99,5.5989e-19,30.096
2.1176e-18,210.08,209.99,5.1361e-19,30.098
1.5711e-18,210.08,209.99,4.4646e-19,30.099
1.122e-18,210.08,209.99,4.2332e-19,30.101
6.7945e-19,210.08,209.99,3.1998e-19,30.103
3.2624e-19,210.08,209.99,1.2267e-19,30.105
2.8446e-19,210.09,209.99,2.245e-19,30.107
-4.0203e-19,210.09,209.99,2.6314e-19,30.108
-1.0413e-18,210.09,209.98,2.4059e-19,30.11
-1.1089e-18,210.09,209.98,2.8728e-19,30.112
-1.7622e-18,210.09,209.98,3.186e-19,30.114
-2.3093e-18,210.09,209.98,2.093e-19,30.116
-2.3666e-18,210.1,209.98,2.1063e-19,30.118
-2.3666e-18,210.1,209.98,2.4605e-19,30.12
-2.4835e-18,210.1,209.98,3.5974e-19,30.122
-3.0674e-18,210.1,209.98,2.0146e-19,30.124
-2.1324e-18,210.1,209.98,-8.4199e-20,30.126
-1.1877e-18,210.1,209.98,-2.5753e-19,30.128
2.9467e-19,210.1,209.98,-3.7735e-19,30.13
8.1434e-19,210.11,209.98,-2.1133e-19,30.132
9.3875e-19,210.11,209.98,-3.5997e-19,30.135
1.9995e-18,210.11,209.98,-4.9387e-19,30.137
2.7396e-18,210.11,209.98,-4.0038e-19,30.139
2.7538e-18,210.11,209.98,-4.3965e-19,30.141
2.193e-18,210.12,209.98,-6.7014e-19,30.143
3.667e-18,210.12,209.98,-5.903e-19,30.146
3.0951e-18,210.12,209.98,-7.4385e-19,30.148
2.3176e-18,210.12,209.98,-6.0592e-19,30.15
1.3979e-18,210.12,209.98,-5.8539e-19,30.152
-5.1377e-20,210.12,209.98,-5.7014e-19,30.155
1.3933e-19,210.13,209.98,-7.4055e-19,30.157
8.6264e-19,210.13,209.98,-6.1405e-19,30.16
-2.286e-20,210.13,209.98,-5.1478e-19,30.162
-4.2255e-19,210.13,209.98,-8.7887e-19,30.164
4.0844e-19,210.13,209.98,-9.3543e-19,30.167
